size,num_rooms,distance_city,age,price
159.24,5,9.21,4,161973.58
60.51,1,21.53,5,71883.39
37.74,1,17.05,28,101958.4
113.45,7,1.36,11,232541.58
111.38,3,6.35,2,128817.56
169.76,4,15.26,23,100303.1
146.7,2,5.33,23,40344.29
50.14,7,13.07,24,245742.8
135.13,7,16.15,18,17714.12
198.31,3,17.49,2,114420.09
193.22,1,28.48,8,95782.17
56.7,2,17.01,6,108304.49
99.45,6,18.22,12,108931.68
149.51,4,3.06,9,267416.33
74.97,7,19.13,26,140601.67
122.58,6,5.32,11,109989.39
54.18,1,5.81,12,46665.14
79.06,1,14.59,12,10000.0
98.43,3,15.51,20,62006.09
103.44,3,18.51,1,57938.57
68.92,6,25.24,23,278278.08
144.29,3,17.71,31,10000.0
59.78,5,19.89,37,75619.19
137.91,4,29.1,19,171664.38
99.42,3,20.43,34,10000.0
79.0,4,24.59,22,161143.64
107.32,3,8.32,5,87786.55
170.24,1,20.07,22,10000.0
100.25,2,16.03,25,10000.0
38.77,3,16.93,37,10000.0
104.48,6,15.06,1,40010.38
150.66,3,16.97,22,10000.0
45.85,7,27.47,18,153634.81
114.72,6,9.46,28,190921.7
100.63,4,29.43,10,53534.41
186.72,5,22.64,5,110444.88
41.87,7,23.91,17,137081.19
169.49,3,22.06,33,10000.0
128.59,6,15.2,6,63915.25
123.83,5,11.94,37,80869.63
177.83,6,7.93,15,190694.11
84.09,4,21.45,32,14793.13
95.63,6,23.98,26,173341.63
51.46,5,10.63,4,201391.5
173.66,1,16.25,18,63248.65
141.31,2,3.17,31,42456.89
75.05,5,21.09,26,150873.83
176.09,4,28.67,25,44349.43
180.86,4,26.3,1,188452.13
186.56,2,22.66,17,105399.78
46.74,6,21.41,4,105182.29
34.92,3,24.09,12,66969.4
93.72,2,8.08,16,53770.39
59.76,5,26.25,25,59271.52
70.94,5,5.15,18,104511.17
31.6,7,14.49,12,124180.13
122.92,1,13.81,14,20625.55
102.13,3,14.25,12,33748.63
199.89,7,15.01,9,71140.23
198.76,3,1.64,33,110450.8
97.29,1,17.41,27,48655.04
133.09,4,25.15,36,54078.81
161.88,2,18.6,14,23042.75
145.22,6,23.26,27,60863.18
53.25,1,27.2,26,16466.13
128.53,6,4.81,36,183079.6
85.54,4,6.09,5,10000.0
120.24,3,25.08,10,23386.75
170.2,4,29.05,12,183037.96
109.62,1,5.08,39,10000.0
176.22,6,20.56,16,158992.34
45.35,4,1.4,21,53655.82
107.31,6,22.72,10,49882.29
93.15,6,7.78,1,165068.81
180.32,5,10.51,24,117568.35
108.93,6,9.76,16,67622.78
53.76,1,9.83,20,132466.66
53.06,4,11.76,38,116434.92
148.4,5,13.15,30,173426.22
46.83,4,18.85,38,86777.43
77.56,6,11.75,18,202409.76
46.89,6,11.65,36,23383.0
139.62,1,12.55,8,159655.21
107.3,6,7.15,26,191046.46
195.09,1,23.82,10,123851.99
41.66,7,17.07,23,128354.66
168.22,2,10.53,6,107165.26
175.93,2,29.64,22,70574.12
165.75,1,20.17,1,157673.31
70.45,3,1.46,11,84594.47
51.55,4,16.26,30,10000.0
117.25,1,14.11,9,91524.92
134.57,6,23.71,35,15529.45
193.88,1,29.96,34,30728.67
102.47,1,15.22,36,29113.89
133.41,1,4.66,25,135872.01
129.51,6,10.43,40,40783.76
132.92,1,24.0,5,49385.17
141.3,7,16.99,35,10000.0
100.35,7,14.15,17,164687.75
46.16,4,10.06,10,166056.15
110.63,1,25.12,4,31285.16
46.42,6,11.81,5,209674.5
125.49,6,4.54,14,216485.2
143.11,7,13.27,37,140601.13
83.12,1,17.76,9,58015.5
141.65,2,25.57,14,39319.15
77.36,2,24.41,34,10000.0
195.67,7,19.03,27,64489.04
141.83,6,8.76,7,117001.54
149.46,3,27.72,14,76453.31
141.75,1,5.11,25,116135.54
35.21,6,16.38,15,52532.16
82.98,3,23.53,23,53296.66
44.44,1,5.51,30,21849.15
105.33,4,15.08,18,107943.85
76.44,7,15.86,14,150678.42
130.83,5,20.35,2,157568.56
97.19,5,2.59,8,228154.37
159.91,3,10.52,0,71193.22
156.99,2,4.75,21,153565.64
143.57,3,3.09,34,158312.18
37.19,1,14.33,3,18158.16
98.75,6,13.11,5,168229.07
33.55,3,5.98,38,10000.0
91.51,4,25.49,10,116429.9
130.11,5,3.28,35,133153.78
162.45,1,15.8,5,33358.12
116.69,7,11.13,29,166907.48
70.17,2,8.42,7,10000.0
55.99,7,20.01,7,95147.37
158.26,7,17.8,27,59705.55
179.95,6,19.42,25,170185.83
55.66,1,14.6,25,10000.0
165.38,5,2.63,20,181985.03
39.67,7,9.33,26,140765.82
196.15,1,18.84,20,17015.74
164.61,1,14.04,32,77061.66
140.81,3,18.55,20,115041.45
167.86,7,10.96,29,139567.61
115.77,2,2.14,28,173450.5
133.67,3,11.81,11,83384.47
99.49,3,20.69,2,19133.68
86.05,5,20.67,11,62740.33
153.03,6,28.97,24,127989.87
142.81,3,10.0,26,108115.25
142.56,2,18.26,38,10000.0
164.58,7,4.71,28,246914.47
191.01,6,27.46,4,98743.05
33.1,3,6.23,9,10000.0
191.1,4,6.57,40,149100.25
163.98,5,23.36,33,113818.96
180.23,1,20.2,35,10000.0
56.22,2,25.11,31,10000.0
167.54,2,21.91,2,17796.29
194.83,5,9.26,30,227455.56
106.32,5,7.94,39,106352.34
62.98,6,28.47,39,10000.0
108.49,3,23.57,20,26612.17
63.95,5,5.01,10,116516.86
139.0,7,11.77,37,85036.2
51.2,1,23.13,11,10000.0
183.9,2,25.1,4,153093.23
180.39,1,13.03,16,61088.43
93.57,4,29.84,15,211830.9
172.66,6,10.72,6,176690.87
36.51,7,14.7,33,51379.84
134.61,1,1.55,9,71506.91
55.42,6,18.66,17,92655.36
50.71,2,13.17,32,10000.0
107.71,1,25.26,20,10000.0
127.76,6,5.16,17,118000.98
134.52,2,17.55,7,30430.01
91.3,5,16.78,31,10000.0
116.3,1,12.32,19,10000.0
73.12,1,11.36,3,10000.0
70.99,6,19.22,31,47119.09
37.54,5,10.82,26,44005.15
171.17,6,14.47,28,93785.14
40.73,7,28.36,1,14955.23
64.27,7,6.78,2,157120.89
198.15,5,14.73,1,144609.82
139.97,3,11.35,31,79853.64
51.16,3,13.67,16,12043.41
104.76,4,10.83,7,105344.25
165.54,3,24.23,29,24951.32
43.42,5,29.86,7,76707.93
85.75,3,9.89,24,85263.98
102.44,6,13.87,18,105232.08
134.52,4,8.96,39,10000.0
191.14,1,20.46,16,10000.0
57.2,1,5.14,24,41762.17
162.82,1,4.66,9,121235.26
191.41,1,18.55,27,39927.21
191.3,3,13.87,3,146657.1
83.45,3,8.24,5,98117.66
155.06,4,16.01,37,140296.15
149.69,2,29.89,11,123129.75
185.8,4,6.81,5,190412.51
151.27,1,24.5,39,39194.04
197.72,6,11.08,3,67191.71
174.73,6,21.58,28,94832.0
59.6,3,15.75,5,46167.47
164.36,1,11.47,23,128237.12
109.46,5,4.76,35,163715.24
151.88,4,16.25,31,95791.72
169.97,1,4.63,13,205997.12
117.95,2,26.46,31,40543.64
138.76,2,23.27,5,10000.0
171.34,5,5.44,7,153857.04
84.85,6,7.54,38,31839.61
43.41,2,19.42,22,28179.9
51.28,3,18.82,4,10000.0
128.71,2,20.1,29,10000.0
132.87,7,27.79,2,123353.62
191.25,7,17.73,26,111834.43
160.38,4,18.93,1,166248.65
139.12,3,15.01,32,10000.0
146.45,3,14.15,28,121520.24
108.96,3,18.59,13,96107.39
152.12,6,29.65,14,47633.51
117.55,1,10.25,19,129023.16
75.47,2,5.09,2,151817.8
101.08,7,27.17,33,26709.8
188.74,6,10.07,31,64245.95
114.79,3,15.42,4,55091.99
96.85,4,29.03,9,89354.76
114.13,7,19.97,19,117093.01
121.24,7,4.12,5,162656.86
98.55,1,12.62,23,116795.04
63.09,5,9.37,15,41420.36
170.3,5,20.73,5,140478.88
195.76,4,11.82,39,83295.26
54.53,5,15.76,20,69403.37
37.7,2,21.69,32,10000.0
181.83,2,10.51,25,107475.31
57.63,5,22.44,12,38813.52
120.5,6,17.32,19,186523.37
32.83,3,20.54,39,10000.0
153.31,6,19.25,24,71184.31
75.14,6,23.7,31,10000.0
129.2,2,16.2,29,21295.23
161.68,4,5.29,27,270120.53
48.68,1,13.79,17,68317.0
100.2,2,12.9,31,119242.72
155.09,1,21.47,21,17901.24
125.35,6,14.87,15,186111.54
120.63,5,11.27,31,75402.97
152.56,6,24.31,11,10000.0
77.43,3,7.52,39,31178.29
80.59,3,21.44,28,10000.0
125.28,7,21.93,12,111531.52
127.49,5,12.01,39,145540.17
166.78,3,2.22,38,10000.0
43.44,4,20.02,30,104076.42
76.09,5,21.19,5,184244.23
134.67,5,7.94,2,166932.41
69.58,1,12.99,29,34725.1
47.09,7,4.99,39,96709.87
140.99,4,14.85,8,136439.91
193.87,3,9.28,2,125463.71
69.48,6,21.97,37,10000.0
185.25,2,13.12,34,85073.28
172.15,7,15.37,37,76158.96
193.56,3,26.43,0,56385.03
197.11,3,14.18,26,108688.08
119.13,2,25.68,19,64336.2
57.62,4,19.8,29,110171.05
32.39,3,23.93,23,31139.17
175.54,4,24.98,21,91633.79
44.75,6,3.77,39,10000.0
31.16,4,7.83,30,62124.57
192.19,3,17.89,23,74232.43
70.17,6,4.43,12,173213.88
98.92,5,27.77,36,69195.22
138.58,3,11.66,9,13330.01
192.75,4,5.44,30,125557.69
123.37,4,22.96,32,35044.66
170.35,7,8.18,30,129617.13
105.95,6,11.49,37,68190.29
49.08,7,16.88,20,59153.02
85.78,5,13.81,27,100323.36
151.88,4,3.64,20,211311.97
117.25,4,17.35,22,53911.57
144.37,3,21.98,16,96868.9
128.31,1,13.29,28,10000.0
122.0,1,28.1,3,68214.11
99.51,7,4.93,26,144473.29
153.98,4,11.86,36,10000.0
94.17,1,20.8,26,83708.36
121.68,6,25.95,5,156420.0
51.65,2,25.21,30,10000.0
196.34,4,20.53,22,37667.56
72.08,3,5.5,8,37482.93
178.79,7,4.27,32,98541.76
180.24,1,7.98,3,151532.69
130.97,4,18.34,28,187612.4
98.39,2,16.65,30,34245.41
161.93,2,15.61,12,101149.39
84.21,5,23.4,33,10000.0
70.27,2,29.59,21,10000.0
124.64,5,26.51,36,88122.84
136.42,4,17.12,2,70789.46
94.8,5,10.24,17,176926.39
55.37,4,6.33,22,99710.08
175.78,2,24.37,37,68407.81
125.61,4,17.16,5,109193.95
139.94,4,25.57,4,145661.8
153.18,2,2.49,15,131318.48
42.37,7,23.09,29,74008.41
125.0,4,7.06,36,56594.95
66.01,2,28.9,5,143217.96
199.93,4,27.52,28,115582.86
70.69,3,23.49,15,10000.0
120.72,3,9.94,14,121858.92
166.48,6,14.62,34,75626.96
185.44,3,10.07,2,166733.16
32.76,5,28.11,23,17844.29
100.99,2,6.69,9,36496.5
123.61,6,10.79,31,75861.43
113.07,6,19.61,20,147664.55
58.78,6,16.85,7,165153.62
181.19,6,28.76,21,134790.21
169.06,1,23.17,16,54063.96
173.23,2,2.97,6,169360.22
40.28,6,20.34,25,136194.29
112.14,4,1.46,21,151920.71
152.77,5,29.35,1,120687.25
168.24,6,13.49,38,162203.13
119.15,2,6.57,21,180548.08
168.59,3,24.05,3,124195.95
71.35,6,7.55,27,91652.93
174.14,6,29.76,26,172208.05
94.12,4,2.63,0,155375.97
59.14,4,25.51,26,20491.38
195.55,5,27.66,9,248711.4
183.22,6,26.74,19,143783.94
187.35,5,17.34,1,131873.12
187.89,3,1.45,8,227499.79
169.55,1,9.68,23,177734.21
126.34,7,12.29,36,51936.56
53.79,6,22.0,20,159245.68
195.63,1,3.83,9,237044.31
134.36,5,12.5,31,128512.8
35.04,3,23.72,18,39199.6
93.82,2,20.71,26,111003.06
44.57,5,9.57,10,127639.04
94.6,7,19.38,30,115978.42
83.84,1,3.65,38,10000.0
47.38,1,6.43,18,72492.14
124.31,4,4.0,4,105915.34
163.35,7,12.17,12,129156.51
95.93,1,22.02,22,86025.07
118.59,6,12.04,6,127591.34
81.19,4,5.23,7,103741.37
163.05,3,8.3,10,143175.4
136.26,5,18.88,18,114716.6
97.27,7,18.99,32,63562.89
86.02,3,13.49,33,10000.0
81.07,5,28.47,8,39724.21
83.41,4,29.09,12,75325.26
127.9,2,10.45,11,29281.71
163.6,3,4.3,23,98327.64
145.89,5,1.78,29,152322.76
190.31,2,13.72,12,82659.54
165.26,4,20.52,6,33036.47
81.48,3,20.1,29,49208.93
198.42,4,17.89,21,110512.14
186.99,7,21.06,22,138043.2
182.24,5,18.22,37,39007.9
48.59,2,20.07,14,25503.01
197.21,6,19.76,39,77156.26
86.37,7,13.48,0,109905.16
118.2,5,20.94,9,165148.66
93.6,4,23.4,24,52087.35
34.18,1,9.57,37,10000.0
44.6,7,28.28,6,62481.39
65.17,4,11.1,4,153585.75
152.74,4,10.25,12,155498.17
174.36,6,4.17,32,146510.51
188.09,6,8.07,7,198320.26
192.94,2,24.13,25,131995.21
61.69,6,13.53,1,75852.94
130.67,4,1.13,9,152756.02
77.32,6,24.45,3,174552.44
61.78,3,6.72,5,111380.26
144.02,4,16.3,26,56837.09
129.79,3,11.21,18,45558.17
59.33,6,21.47,12,71969.45
52.77,1,7.92,5,32520.88
93.46,2,15.81,17,79902.05
61.58,6,16.58,37,85955.55
188.22,2,17.09,20,104104.32
106.67,1,26.1,38,45537.74
112.38,2,24.64,39,10000.0
146.4,4,21.59,18,111923.0
58.43,5,1.89,30,66268.47
121.39,2,23.64,23,95110.61
161.33,4,16.94,5,183475.34
169.96,3,16.72,30,87785.12
159.2,4,16.84,40,153070.17
157.73,3,26.37,1,123801.13
74.68,7,24.69,18,178783.93
70.28,7,22.39,28,87803.24
176.38,5,19.35,7,144723.48
65.18,1,17.53,21,65661.3
131.47,2,10.39,28,76085.08
175.86,6,24.64,5,160999.0
157.52,4,27.64,40,94730.08
177.23,2,5.24,13,89301.6
72.08,7,20.61,20,56657.31
100.42,4,3.19,32,91840.96
160.71,4,15.95,11,162412.39
191.54,3,17.88,35,18775.17
174.02,1,22.2,18,48016.52
40.77,5,12.53,39,10000.0
170.22,4,8.79,33,80708.19
126.24,4,23.86,36,123813.74
159.58,1,3.89,31,82737.98
175.8,4,14.24,40,124370.83
102.73,6,27.37,35,28209.97
179.02,1,19.98,10,170199.49
93.21,6,5.8,16,90111.85
69.8,6,3.64,4,198703.59
66.28,1,4.85,9,70116.45
148.25,7,4.5,34,142421.37
147.99,4,3.05,15,185585.56
83.27,3,4.98,31,23540.92
158.04,2,19.61,27,125917.95
133.75,2,13.76,29,113698.5
136.77,2,27.68,25,28304.91
182.42,2,22.82,24,87120.1
95.29,4,10.12,6,114105.22
124.08,5,21.91,11,127900.23
190.02,1,25.59,26,57750.84
116.62,6,12.36,26,185543.34
163.25,7,28.69,20,163653.85
130.97,5,26.77,0,147569.18
91.39,3,4.83,34,10000.0
146.1,7,14.66,39,83186.73
42.41,5,2.96,10,121036.73
164.18,5,9.31,29,156462.87
160.41,4,21.35,3,50758.19
77.17,3,3.29,37,25980.9
195.63,2,16.56,16,15655.99
145.78,1,9.99,17,22027.64
192.08,2,2.68,3,123303.08
133.5,3,20.32,26,82038.81
59.86,1,21.53,28,101680.78
118.91,7,24.85,10,211641.02
93.22,6,23.65,11,162905.64
34.99,7,13.45,21,31260.7
74.7,5,19.2,20,75562.02
176.09,2,11.66,10,106902.44
47.49,5,20.55,5,84040.53
175.98,1,8.09,19,104408.63
95.11,2,6.19,38,115479.79
151.38,6,13.16,13,165556.68
100.76,6,10.28,33,57671.84
144.47,1,6.2,32,41277.26
196.84,4,3.0,19,208013.34
85.64,5,14.25,15,207361.85
79.57,7,9.81,25,44574.49
113.87,7,23.5,29,119200.25
122.92,7,8.11,0,100703.71
88.89,7,21.11,0,116174.79
86.95,7,20.06,34,52743.58
120.07,2,13.17,38,16847.62
195.34,2,21.64,4,172487.18
118.36,6,26.97,18,54867.81
157.14,5,3.77,5,204106.67
126.53,4,20.21,5,90113.41
79.58,7,10.14,32,44952.74
84.07,3,7.77,38,10000.0
53.14,7,17.96,6,114643.1
99.11,5,11.39,31,127652.87
106.83,4,8.69,5,165152.78
170.49,6,18.5,9,184789.04
175.62,2,3.65,10,123487.5
145.12,3,24.78,7,110787.8
191.86,7,14.11,30,165979.77
166.66,2,4.52,2,209006.55
162.76,2,4.79,33,61206.76
139.6,5,18.0,37,122612.67
42.75,1,6.73,26,49369.49
174.04,7,10.61,2,136560.95
108.37,2,27.8,17,43146.06
95.06,4,6.01,9,59744.01
61.82,3,13.93,6,10000.0
140.04,4,12.95,22,94502.13
40.37,3,12.11,17,10000.0
72.36,7,16.77,1,21946.92
95.02,6,11.41,22,10000.0
115.41,4,8.84,1,138315.41
131.51,1,26.98,31,163560.9
120.0,7,17.94,9,161587.0
57.14,2,20.05,11,82298.43
39.5,2,17.7,39,10000.0
96.03,7,29.75,7,102501.71
155.48,3,27.51,1,110232.67
149.1,5,17.34,23,171006.27
179.88,4,16.72,7,261620.69
36.45,1,7.75,9,36403.43
186.04,2,24.39,14,75506.86
60.17,7,25.48,13,153880.61
185.93,7,4.22,21,227863.87
92.03,1,11.83,38,10000.0
81.3,2,29.3,29,58465.64
104.27,6,28.86,26,161627.76
147.91,5,23.82,9,231357.59
130.12,2,11.97,29,76425.68
30.31,6,28.51,16,109153.89
199.03,5,1.94,24,344348.85
67.55,5,4.02,20,61725.01
86.3,1,7.9,39,74485.56
45.08,6,20.43,29,174038.28
87.08,1,8.69,10,98607.13
48.37,1,2.4,18,74604.97
101.34,2,26.65,20,10000.0
47.24,4,23.87,23,127557.23
158.9,2,5.72,3,123110.46
84.18,1,3.15,7,52887.48
93.83,6,3.18,38,150040.84
197.5,4,21.43,17,123003.75
141.12,5,26.8,6,139618.38
62.3,6,17.07,37,68842.8
121.82,6,9.16,10,192888.35
172.78,2,2.58,0,178201.15
44.9,7,20.2,24,87019.48
59.04,3,29.33,19,48564.06
49.64,7,12.53,20,83226.62
122.5,2,11.76,15,62718.64
61.72,1,8.64,19,56740.52
40.48,7,21.2,4,121247.68
143.58,7,16.7,39,19398.84
172.94,7,16.15,39,47945.88
146.8,4,17.61,9,98899.73
175.17,1,15.56,36,80318.87
166.08,6,29.5,6,171665.02
191.34,2,29.19,32,20288.86
51.45,4,3.27,27,138825.96
55.14,5,8.48,36,146341.23
185.41,1,3.52,22,75005.12
118.35,7,1.36,28,133017.92
129.89,7,13.17,17,174685.31
158.92,1,27.82,23,121095.28
47.17,3,26.16,35,22340.09
141.31,5,18.66,1,85211.42
76.82,2,18.93,27,10000.0
179.42,6,7.89,30,188772.72
186.54,3,1.59,33,115962.49
113.58,6,20.86,39,102397.6
68.75,3,29.25,18,58794.37
100.85,6,3.59,18,115474.75
185.28,4,22.49,30,147871.97
117.6,2,2.9,28,45354.95
98.58,7,25.69,35,91754.32
171.6,7,2.67,1,213197.3
38.6,3,21.43,11,58006.01
138.02,1,20.75,10,10000.0
113.09,4,6.15,35,46898.48
57.8,3,22.72,28,13254.49
78.46,4,2.44,34,99240.36
67.63,2,20.65,11,10000.0
99.62,1,26.07,39,10000.0
52.49,2,18.43,0,10000.0
72.91,7,28.35,29,81737.41
182.23,7,11.11,10,122285.38
109.34,6,16.1,25,97564.93
199.9,7,25.34,22,126896.68
130.94,3,9.66,4,222848.45
138.9,7,9.03,26,197711.17
191.87,6,9.66,6,176344.91
166.92,7,24.49,16,13357.87
84.33,2,21.92,26,84045.11
101.16,4,22.37,23,99730.65
199.11,7,6.51,29,180239.2
163.43,6,11.4,12,212630.08
58.9,6,26.42,7,109064.92
73.97,7,17.21,37,67249.04
190.98,3,19.98,9,94185.88
101.48,3,11.78,23,170595.71
108.84,1,14.65,35,10000.0
42.11,2,15.51,35,10000.0
94.88,3,12.98,35,118570.08
88.25,5,26.89,39,183202.23
54.35,7,21.75,31,10000.0
60.06,6,2.68,18,123552.04
65.6,7,5.89,31,10000.0
44.97,5,13.58,17,98040.52
102.93,4,12.12,2,136567.99
32.39,3,22.95,21,75618.01
33.05,1,19.17,10,13951.53
51.92,4,15.6,12,42495.92
41.1,1,9.65,12,31198.51
87.43,6,29.87,14,29529.94
183.24,3,22.75,7,151184.71
33.25,2,22.09,5,10000.0
154.79,5,15.63,5,94997.37
93.78,6,8.42,21,30900.39
38.26,1,20.2,26,107387.77
100.85,4,4.58,10,160146.01
149.32,2,21.16,25,41557.68
142.62,3,19.06,28,132633.62
101.2,1,15.84,25,32477.24
114.62,5,6.79,11,213099.5
118.93,2,11.38,16,113111.84
184.76,6,28.06,13,178719.4
30.47,6,3.58,4,42223.5
191.41,7,15.84,29,101199.3
47.22,3,19.69,18,72927.48
38.51,7,6.07,2,83688.26
79.4,7,20.63,17,166669.08
181.35,1,25.71,27,139367.64
58.99,3,26.94,38,10000.0
93.35,3,6.3,16,147399.54
193.59,3,25.24,28,26233.76
180.64,2,4.28,28,171643.91
39.97,7,5.62,17,14204.3
145.33,2,18.73,31,10000.0
133.93,7,20.85,34,96270.81
186.47,1,26.74,18,71546.0
40.77,6,10.11,28,53015.01
128.03,5,7.5,38,17213.25
178.43,5,16.17,28,184353.61
72.26,3,20.25,26,83148.31
55.27,7,17.19,40,114205.59
56.68,7,14.61,20,122476.99
58.12,7,15.26,10,103225.76
67.86,6,11.98,33,60932.83
43.4,4,24.24,18,116808.55
50.18,4,22.61,1,42381.33
98.58,1,17.16,0,106847.3
135.24,3,26.81,22,97371.89
141.28,4,28.56,15,145850.67
107.26,5,23.26,24,114054.18
151.83,3,21.76,5,67621.66
88.03,7,19.38,32,21064.83
123.11,3,21.36,2,71060.73
151.87,6,12.87,10,169535.99
63.31,1,27.98,16,10000.0
151.85,1,22.96,2,88804.5
137.65,6,18.08,31,10000.0
192.55,2,28.95,0,100192.42
155.16,5,28.12,34,17309.27
186.6,2,21.06,7,82356.49
168.59,1,12.23,24,148145.71
95.39,5,27.56,30,18815.94
76.51,3,29.14,18,77464.28
149.0,6,15.86,34,113047.61
123.13,3,21.64,37,10000.0
136.11,3,20.91,37,10000.0
52.55,6,19.85,38,10000.0
84.8,1,23.06,22,43558.46
129.08,6,21.59,27,157268.1
179.17,4,24.44,21,85538.9
34.3,2,2.54,2,38095.06
197.2,6,8.27,34,215839.61
147.4,3,6.92,22,59064.17
134.74,6,22.45,35,113002.62
156.21,5,12.28,20,170488.18
147.8,1,27.87,16,10000.0
192.64,6,10.07,22,204237.68
135.5,7,25.95,18,113744.41
68.34,6,21.43,26,92520.91
132.58,7,22.02,8,46915.77
106.3,6,3.16,38,112678.98
36.91,3,17.14,5,10000.0
129.28,3,1.16,19,136611.1
187.87,5,2.47,37,174829.84
134.65,6,9.73,32,78833.2
150.31,5,7.38,7,139123.43
41.59,5,5.62,22,52711.95
180.18,6,10.62,14,186527.43
67.14,7,18.93,19,12753.33
140.38,1,20.4,18,30721.25
183.76,5,27.64,10,226007.1
94.83,7,28.4,15,124268.1
121.84,3,1.72,21,125188.79
116.49,4,2.27,36,63594.67
62.73,5,3.39,4,204962.07
120.64,6,2.9,27,151240.75
161.51,7,20.88,33,104330.09
